Ref,Qnty,Value,Partnumber
"C1, C2, C3",3,1uF,
C4,1,2.2uf,
C5,1,100pF,
"C6, C7, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23",14,10nF,
C8,1,4.7pF,
"C9, C11",2,0.1uF,
C10,1,22uF,
D1,1,1N4148,
"F1, F2, F4, F5, F6, F7, F8, F9, F10, F11, F12, F13",12,0.25A,
F3,1,1A,
"H1, H2, H3, H4",4,MountingHole,
"J1, J2, J4, J5",4,Conn_01x02_Pin,
J3,1,Conn_01x04_Pin,
J6,1,Conn_01x05_Pin,
J8,1,Conn_01x06_Pin,
"R1, R2",2,10K,
"R3, R13",2,1M,
R4,1,3.01k,
R5,1,1k,
R6,1,5k,
R7,1,100,
R8,1,25.5k,
"R9, R10, R11, R12",4,49.9,
R14,1,191K,
"R15, R16, R23, R24, R25, R26, R27, R28, R29, R30, R37, R38, R39, R40, R41, R42, R43, R44, R45",19,10,
"R17, R18, R19, R20, R21, R22, R31, R32, R33, R34, R35, R36",12,30,
U1,1,ADBMS1818ASWAZ,
U2,1,LT8631EFE-PBF,
"XMER1, XMER2",2,HM2101NLT,
